"","ssvid","imo","shipname","n_shipname"
"302","636014716","9453638","MARLIN","MARLIN"
"303","723689310","0","RELAMPAGO","RELAMPAGO"
"304","273415310","8227680","MARLIN","MARLIN"
"305","725065543","543653454","EPERVA 61","EPERVA61"
"306","257633490","0","TORNADO","TORNADO"
"307","636014716","9453638","MARLIN  !","MARLIN"
"308","205242990","0","MARLIN","MARLIN"
"309","636014716","9453638","MARLIN  %#    #","MARLIN"
"310","211324040",NA,"SALMON","SALMON"
"311","274206808",NA,"TORNADO","TORNADO"
"312","661184511","9260067","TORNADO","TORNADO"
"313","273367690","8928799","TORNADO","TORNADO"
"314","253189000",NA,"TORNAD`O","TORNADO"
"315","701006045","0","HURACAN","HURACAN"
"316","701000844","0","PUCARA","PUCARA"
"317","999999999","0","INTREPIDO","INTREPIDO"
"318","345040017","9502905","HALCON","HALCON"
"319","367032540","7944657","MARLIN","MARLIN"
"320","205345890","0","TORNADO","TORNADO"
"321","247299900","0","INTREPIDO","INTREPIDO"
"322","211597070","0","SALMON","SALMON"
"323","725000029","0","INTREPIDO","INTREPIDO"
"324","725000027","0","AUDAZ","AUDAZ"
"325","188130624","9250323","ALERCE N","ALERCE"
"326","636014716","9453648","MARLIN","MARLIN"
"327","273415310","8227680","MARLIN","MARLIN"
"328","725000197","8903753","HURACAN      &","HURACAN"
"329","636018877","9250323","ALERCE N","ALERCE"
"330","293800000","8408466","INTREPIDO","INTREPIDO"
"331","244710731","0","TORNADO","TORNADO"
"332","316039122",NA,"MARLIN","MARLIN"
"333","770576063","134217728","HURACAN","HURACAN"
"334","205242990","0","MARLIN","MARLIN"
"335","636018687","9260067","TORNADO","TORNADO"
"336","725032797","0","INTREPIDO","INTREPIDO"
"337","725000030","0","RELAMPAGO","RELAMPAGO"
"338","247151290","0","TORNADO","TORNADO"
"339","293800000","8408466","INTREPIDO","INTREPIDO"
"340","725019300","0","ALBIMER","ALBIMER"
"341","211743070","0","MARLIN","MARLIN"
"342","725000834","0","CORPESCA2","CORPESCA2"
"343","211237020","0","MARLIN","MARLIN"
"344","269102950","0","SY MARLIN","MARLIN"
"345","273452590","9585912","MARLIN","MARLIN"
"346","319813000","0","HURACAN","HURACAN"
"347","725019300","0","ALBIMER","ALBIMER"
"348","636018687","9260067","TORNADO         ""","TORNADO"
"349","257983603","0","TORNADO","TORNADO"
"350","244850687","0","C A\$<MINA","CAMINA"
"351","244710731","0","TORNADO","TORNADO"
"352","273415310","8227680","MARLIN","MARLIN"
"353","205242990","0","MARLIN","MARLIN"
"354","999999999","0","INTREPIDO","INTREPIDO"
"355","636014716","9453638","MARLIN","MARLIN"
"356","725001850","0","TORNADO    &       &","TORNADO"
"357","244710731","0","TORNADO","TORNADO"
"358","620685000","9102241","GRINGO","GRINGO"
"359","224124140","0","RELAMPAGO","RELAMPAGO"
"360","194365179","925617478","INTREPIDO","INTREPIDO"
"361","641933580","820209682","$ MARLIN","MARLIN"
"362","525018505","9034717","LPG/C SALMON","SALMON"
"363","636018687","9260067","TORNADO","TORNADO"
"364","770576299","0","BANDURRIA","BANDURRIA"
"365","636014716","9453638","MARLIN  #","MARLIN"
"366","293800000","8408466","INTREPIDO","INTREPIDO"
"367","235114576","0","TORNADO","TORNADO"
"368","725010191","0","MERO","MERO"
"369","343991331","9223801","HALCON","HALCON"
"370","352832000","9250323","ALERCE","ALERCE"
"371","293800000","8408466","INTREPIDO","INTREPIDO"
"372","770576191","49152","HURACAN","HURACAN"
"373","304108000","9213715","MARLIN","MARLIN"
"374","293800000","8408466","INTREPIDO","INTREPIDO"
"375","224124140","9999999","RELAMPAGO","RELAMPAGO"
"376","273356180","0","MARLIN","MARLIN"
"377","548931000","8431333","HALCON","HALCON"
"378","225989859",NA,"INTREPIDO","INTREPIDO"
"379","273318680","0","TORNADO","TORNADO"
"380","770576191","0","HURACAN     $","HURACAN"
"381","371934000","0","MERO","MERO"
"382","293800000","8408466","INTREPIDO !","INTREPIDO"
"383","636018687","9243683","TORNADO","TORNADO"
"384","257633490","0","TORNADO","TORNADO"
"385","725000192","0","SALMON","SALMON"
"386","636014716","9453638","MARLIN","MARLIN"
"387","273355510","0","MARLIN","MARLIN"
"388","725019300","0","ALBIMER","ALBIMER"
"389","636018687","9260067","TORNADO","TORNADO"
"390","293800000","8408466","INTREPIDO","INTREPIDO"
"391","636014716","9453638","MARLIN  0","MARLIN"
"392","725010191","0","MERO","MERO"
"393","304108000","10485907","MARLIN","MARLIN"
"394","701000844","0","PUCARA","PUCARA"
"395","224222360","0","HALCON","HALCON"
"396","725001850","0","TORNADO  "" 0","TORNADO"
"397","725000027","0","AUDAZ","AUDAZ"
"398","244710731","0","TORNADO","TORNADO"
"399","273415310","8227685","MARLIN","MARLIN"
"400","725000027","0","AUDAZ","AUDAZ"
"401","244710731","737280","TORNADO","TORNADO"
"402","319642000","0","GRINGO","GRINGO"
"403","725001536","9250323","ALERCE N","ALERCE"
"404","211743070","0","MARLIN","MARLIN"
"405","205345890","0","TORNADO","TORNADO"
"406","258172580","0","TORNADO","TORNADO"
"407","247299900","0","INTREPIDO","INTREPIDO"
"408","725000834","0","CORPESCA2","CORPESCA2"
"409","293800000","8408466","INTREPIDO       )","INTREPIDO"
"410","273356180","0","MARLIN","MARLIN"
"411","211597070","1073741823","SALMON","SALMON"
"412","735059484",NA,"MARLIN","MARLIN"
"413","238794240","0","MARLIN","MARLIN"
"414","211597070","0","SALMON","SALMON"
"415","244710731","0","TORNADO","TORNADO"
"416","273333290","7700213","TORNADO","TORNADO"
"417","636014716","9568774","MARLIN","MARLIN"
"418","701006150","7723845","TORNADO","TORNADO"
"419","211597070","0","SALMON","SALMON"
"420","211606420",NA,"SY MARLIN","MARLIN"
"421","293800000","8408466","INTREPIDO         $","INTREPIDO"
"422","247101020","0","MP MARLIN","MARLIN"
"423","725001536","9250323","ALERCE N","ALERCE"
"424","211290830","0","MARLIN","MARLIN"
"425","273318680",NA,"TORNADO@@@@@@@@@@@@0","TORNADO"
"426","636014716","9453638","MARLIN","MARLIN"
"427","244710731","0","TORNADO","TORNADO"
"428","538006236","9183647","MARLIN","MARLIN"
"429","725000027","0","INTREPIDO","INTREPIDO"
"430","293800000","8408722","INTREPIDO","INTREPIDO"
"431","701000844","0","PUCARA","PUCARA"
"432","238027940",NA,"TORNADO","TORNADO"
"433","725000028","0","AVENTURERO","AVENTURERO"
"434","725000197","8903753","HURACAN      &","HURACAN"
