"","LatBin","LonBin","FishingHours"
"276",-19.21,-72.29,0
"277",-19.58,-72.28,0
"278",-19.57,-72.28,0
"279",-19.49,-72.28,0
"280",-19.45,-72.28,0
"281",-19.44,-72.28,0
"282",-19.43,-72.28,0
"283",-19.42,-72.28,0
"284",-19.36,-72.28,0
"285",-19.34,-72.28,0
"286",-19.33,-72.28,0
"287",-19.3,-72.28,0
"288",-19.24,-72.28,0
"289",-19.23,-72.28,0
"290",-19.6,-72.27,0
"291",-19.53,-72.27,0
"292",-19.5,-72.27,0
"293",-19.43,-72.27,0
"294",-19.32,-72.27,0
"295",-19.31,-72.27,0
"296",-19.24,-72.27,0
"297",-19.22,-72.27,0
"298",-19.6,-72.26,0
"299",-19.52,-72.26,0
"300",-19.46,-72.26,0
"301",-19.45,-72.26,0
"302",-19.44,-72.26,0
"303",-19.2,-72.26,0
"304",-19.62,-72.25,0
"305",-19.53,-72.25,0
"306",-19.49,-72.25,0
"307",-19.48,-72.25,0
"308",-19.47,-72.25,0
"309",-19.45,-72.25,0
"310",-19.32,-72.25,0
"311",-19.3,-72.25,0
"312",-19.22,-72.25,0
"313",-19.21,-72.25,0
"314",-19.62,-72.24,0
"315",-19.55,-72.24,0
"316",-19.54,-72.24,0
"317",-19.52,-72.24,0
"318",-19.48,-72.24,0
"319",-19.47,-72.24,0
"320",-19.24,-72.24,0
"321",-19.64,-72.23,0
"322",-19.63,-72.23,0
"323",-19.56,-72.23,0.399999999999999
"324",-19.55,-72.23,1.6
"325",-19.53,-72.23,0
"326",-19.51,-72.23,0
"327",-19.5,-72.23,0.133333333333333
"328",-19.49,-72.23,0
"329",-19.48,-72.23,0
"330",-19.46,-72.23,0
"331",-19.32,-72.23,0
"332",-19.22,-72.23,0
"333",-19.58,-72.22,0
"334",-19.57,-72.22,0
"335",-19.56,-72.22,0
"336",-19.55,-72.22,0.133333333333333
"337",-19.54,-72.22,0
"338",-19.5,-72.22,0
"339",-19.49,-72.22,0.133333333333333
"340",-19.48,-72.22,0
"341",-19.33,-72.22,0
"342",-19.29,-72.22,0
"343",-19.24,-72.22,0
"344",-19.2,-72.22,0
"345",-19.19,-72.22,0
"346",-19.66,-72.21,0
"347",-19.58,-72.21,0
"348",-19.57,-72.21,0
"349",-19.55,-72.21,0
"350",-19.54,-72.21,0
"351",-19.53,-72.21,0
"352",-19.51,-72.21,0
"353",-19.5,-72.21,0
"354",-19.49,-72.21,0
"355",-19.48,-72.21,0.133333333333333
"356",-19.46,-72.21,0
"357",-19.67,-72.2,0
"358",-19.58,-72.2,0
"359",-19.56,-72.2,0
"360",-19.55,-72.2,0
"361",-19.54,-72.2,0
"362",-19.53,-72.2,0
"363",-19.51,-72.2,0
"364",-19.5,-72.2,0
"365",-19.49,-72.2,0
"366",-19.47,-72.2,0.399999999999999
"367",-19.46,-72.2,1.86666666666666
"368",-19.35,-72.2,0
"369",-19.34,-72.2,0
"370",-19.29,-72.2,0
"371",-19.21,-72.2,0
"372",-19.69,-72.19,0
"373",-19.68,-72.19,0
"374",-19.61,-72.19,0
"375",-19.56,-72.19,0
"376",-19.55,-72.19,0
"377",-19.54,-72.19,0
"378",-19.53,-72.19,0
"379",-19.52,-72.19,0
"380",-19.44,-72.19,0
"381",-19.43,-72.19,0
"382",-19.42,-72.19,0
"383",-19.41,-72.19,0
"384",-19.39,-72.19,0
"385",-19.38,-72.19,0
"386",-19.37,-72.19,0
"387",-19.24,-72.19,0
"388",-19.19,-72.19,0
"389",-19.62,-72.18,0
"390",-19.57,-72.18,0
"391",-19.55,-72.18,0
"392",-19.54,-72.18,0
"393",-19.53,-72.18,0
"394",-19.52,-72.18,0
"395",-19.5,-72.18,0.266666666666666
"396",-19.49,-72.18,0.133333333333333
"397",-19.46,-72.18,0
"398",-19.45,-72.18,0
"399",-19.44,-72.18,0.266666666666666
"400",-19.19,-72.18,0
"401",-19.71,-72.17,0
"402",-19.7,-72.17,0
"403",-19.56,-72.17,0.133333333333333
"404",-19.55,-72.17,0
"405",-19.54,-72.17,2.13333333333333
"406",-19.53,-72.17,0.799999999999998
"407",-19.52,-72.17,0.133333333333333
"408",-19.51,-72.17,0
"409",-19.5,-72.17,0.266666666666666
"410",-19.49,-72.17,0.266666666666666
"411",-19.48,-72.17,0
"412",-19.47,-72.17,0.133333333333333
"413",-19.46,-72.17,1.46666666666666
"414",-19.45,-72.17,1.06666666666666
"415",-19.44,-72.17,1.33333333333333
"416",-19.43,-72.17,0.533333333333332
"417",-19.28,-72.17,0
"418",-19.24,-72.17,0
"419",-19.21,-72.17,0
"420",-19.18,-72.17,0
"421",-19.64,-72.16,0
"422",-19.59,-72.16,0
"423",-19.57,-72.16,0
"424",-19.56,-72.16,0.133333333333333
"425",-19.55,-72.16,0.133333333333333
"426",-19.54,-72.16,0
"427",-19.53,-72.16,2.13333333333333
"428",-19.52,-72.16,0
"429",-19.5,-72.16,0.133333333333333
"430",-19.49,-72.16,0.399999999999999
"431",-19.48,-72.16,0.533333333333332
"432",-19.47,-72.16,0
"433",-19.46,-72.16,0.133333333333333
"434",-19.19,-72.16,0
"435",-19.73,-72.15,0
"436",-19.62,-72.15,0
"437",-19.57,-72.15,0.799999999999998
"438",-19.56,-72.15,0
"439",-19.55,-72.15,0.133333333333333
"440",-19.53,-72.15,0
"441",-19.5,-72.15,0
"442",-19.48,-72.15,0.533333333333332
"443",-19.47,-72.15,0.399999999999999
"444",-19.46,-72.15,0.133333333333333
"445",-19.18,-72.15,0
"446",-19.17,-72.15,0
"447",-19.66,-72.14,0
"448",-19.57,-72.14,0
"449",-19.56,-72.14,0.933333333333331
"450",-19.55,-72.14,0
"451",-19.52,-72.14,0
"452",-19.51,-72.14,0.133333333333333
"453",-19.48,-72.14,0.133333333333333
"454",-19.47,-72.14,0.133333333333333
"455",-19.46,-72.14,0
"456",-19.28,-72.14,0
"457",-19.24,-72.14,0
"458",-19.2,-72.14,0
"459",-19.76,-72.13,0
"460",-19.75,-72.13,0
"461",-19.68,-72.13,0
"462",-19.64,-72.13,0
"463",-19.58,-72.13,0
"464",-19.57,-72.13,0
"465",-19.56,-72.13,0.799999999999998
"466",-19.55,-72.13,0.133333333333333
"467",-19.54,-72.13,0
"468",-19.53,-72.13,0
"469",-19.52,-72.13,0
"470",-19.5,-72.13,0
"471",-19.48,-72.13,0
"472",-19.47,-72.13,0.266666666666666
"473",-19.46,-72.13,0.533333333333332
"474",-19.18,-72.13,0
"475",-19.62,-72.12,0
"476",-19.6,-72.12,0
"477",-19.55,-72.12,0.133333333333333
"478",-19.53,-72.12,0
"479",-19.52,-72.12,0
"480",-19.51,-72.12,0.266666666666666
"481",-19.5,-72.12,1.73333333333333
"482",-19.49,-72.12,0.266666666666666
"483",-19.48,-72.12,0.133333333333333
"484",-19.47,-72.12,0.399999999999999
"485",-19.46,-72.12,0.533333333333332
"486",-19.45,-72.12,0.133333333333333
"487",-19.44,-72.12,0.133333333333333
"488",-19.2,-72.12,0
"489",-19.18,-72.12,0
"490",-19.15,-72.12,0
"491",-19.78,-72.11,0
"492",-19.77,-72.11,0
"493",-19.7,-72.11,0
"494",-19.66,-72.11,0
"495",-19.57,-72.11,0
"496",-19.55,-72.11,0
"497",-19.53,-72.11,0
"498",-19.52,-72.11,0
