"","LatBin","LonBin","fishing_hours_sq_km","Log_fishing_hours_sq_km"
"207",-19.25,-72.37,0,-Inf
"208",-19.49,-72.36,0,-Inf
"209",-19.48,-72.36,0,-Inf
"210",-19.45,-72.36,0,-Inf
"211",-19.36,-72.36,0,-Inf
"212",-19.32,-72.36,0,-Inf
"213",-19.31,-72.36,0,-Inf
"214",-19.3,-72.36,0,-Inf
"215",-19.28,-72.36,0,-Inf
"216",-19.27,-72.36,0,-Inf
"217",-19.26,-72.36,0,-Inf
"218",-19.25,-72.36,0,-Inf
"219",-19.23,-72.36,0,-Inf
"220",-19.4,-72.35,0,-Inf
"221",-19.36,-72.35,0,-Inf
"222",-19.35,-72.35,0,-Inf
"223",-19.33,-72.35,0,-Inf
"224",-19.31,-72.35,0,-Inf
"225",-19.26,-72.35,0,-Inf
"226",-19.25,-72.35,0,-Inf
"227",-19.24,-72.35,0,-Inf
"228",-19.23,-72.35,0,-Inf
"229",-19.53,-72.34,0,-Inf
"230",-19.5,-72.34,0,-Inf
"231",-19.42,-72.34,0,-Inf
"232",-19.38,-72.34,0,-Inf
"233",-19.35,-72.34,0,-Inf
"234",-19.34,-72.34,0,-Inf
"235",-19.32,-72.34,0,-Inf
"236",-19.31,-72.34,0.0573335619900364,-1.24159107576305
"237",-19.3,-72.34,0,-Inf
"238",-19.52,-72.33,0,-Inf
"239",-19.49,-72.33,0,-Inf
"240",-19.45,-72.33,0,-Inf
"241",-19.37,-72.33,0,-Inf
"242",-19.36,-72.33,0,-Inf
"243",-19.34,-72.33,0,-Inf
"244",-19.32,-72.33,0,-Inf
"245",-19.24,-72.33,0,-Inf
"246",-19.23,-72.33,0,-Inf
"247",-19.53,-72.32,0,-Inf
"248",-19.44,-72.32,0,-Inf
"249",-19.4,-72.32,0,-Inf
"250",-19.37,-72.32,0,-Inf
"251",-19.33,-72.32,0,-Inf
"252",-19.29,-72.32,0,-Inf
"253",-19.25,-72.32,0,-Inf
"254",-19.55,-72.31,0,-Inf
"255",-19.49,-72.31,0,-Inf
"256",-19.46,-72.31,0,-Inf
"257",-19.45,-72.31,0,-Inf
"258",-19.39,-72.31,0,-Inf
"259",-19.37,-72.31,0,-Inf
"260",-19.35,-72.31,0,-Inf
"261",-19.34,-72.31,0,-Inf
"262",-19.31,-72.31,0,-Inf
"263",-19.23,-72.31,0,-Inf
"264",-19.22,-72.31,0,-Inf
"265",-19.55,-72.3,0,-Inf
"266",-19.53,-72.3,0,-Inf
"267",-19.42,-72.3,0,-Inf
"268",-19.41,-72.3,0,-Inf
"269",-19.39,-72.3,0,-Inf
"270",-19.37,-72.3,0,-Inf
"271",-19.26,-72.3,0,-Inf
"272",-19.48,-72.29,0,-Inf
"273",-19.41,-72.29,0,-Inf
"274",-19.37,-72.29,0,-Inf
"275",-19.25,-72.29,0,-Inf
"276",-19.21,-72.29,0,-Inf
"277",-19.58,-72.28,0,-Inf
"278",-19.57,-72.28,0,-Inf
"279",-19.49,-72.28,0,-Inf
"280",-19.45,-72.28,0,-Inf
"281",-19.44,-72.28,0,-Inf
"282",-19.43,-72.28,0,-Inf
"283",-19.42,-72.28,0,-Inf
"284",-19.36,-72.28,0,-Inf
"285",-19.34,-72.28,0,-Inf
"286",-19.33,-72.28,0,-Inf
"287",-19.3,-72.28,0,-Inf
"288",-19.24,-72.28,0,-Inf
"289",-19.23,-72.28,0,-Inf
"290",-19.6,-72.27,0,-Inf
"291",-19.53,-72.27,0,-Inf
"292",-19.5,-72.27,0,-Inf
"293",-19.43,-72.27,0,-Inf
"294",-19.32,-72.27,0,-Inf
"295",-19.31,-72.27,0,-Inf
"296",-19.24,-72.27,0,-Inf
"297",-19.22,-72.27,0,-Inf
"298",-19.6,-72.26,0,-Inf
"299",-19.52,-72.26,0,-Inf
"300",-19.46,-72.26,0,-Inf
"301",-19.45,-72.26,0,-Inf
"302",-19.44,-72.26,0,-Inf
"303",-19.2,-72.26,0,-Inf
"304",-19.62,-72.25,0,-Inf
"305",-19.53,-72.25,0,-Inf
"306",-19.49,-72.25,0,-Inf
"307",-19.48,-72.25,0,-Inf
"308",-19.47,-72.25,0,-Inf
"309",-19.45,-72.25,0,-Inf
"310",-19.32,-72.25,0,-Inf
"311",-19.3,-72.25,0,-Inf
"312",-19.22,-72.25,0,-Inf
"313",-19.21,-72.25,0,-Inf
"314",-19.62,-72.24,0,-Inf
"315",-19.55,-72.24,0,-Inf
"316",-19.54,-72.24,0,-Inf
"317",-19.52,-72.24,0,-Inf
"318",-19.48,-72.24,0,-Inf
"319",-19.47,-72.24,0,-Inf
"320",-19.24,-72.24,0,-Inf
"321",-19.64,-72.23,0,-Inf
"322",-19.63,-72.23,0,-Inf
"323",-19.56,-72.23,0.344531393332285,-0.46277119950438
"324",-19.55,-72.23,1.37804014051054,0.13926186818723
"325",-19.53,-72.23,0,-Inf
"326",-19.51,-72.23,0,-Inf
"327",-19.5,-72.23,0.114801147048129,-0.940053772615883
"328",-19.49,-72.23,0,-Inf
"329",-19.48,-72.23,0,-Inf
"330",-19.46,-72.23,0,-Inf
"331",-19.32,-72.23,0,-Inf
"332",-19.22,-72.23,0,-Inf
"333",-19.58,-72.22,0,-Inf
"334",-19.57,-72.22,0,-Inf
"335",-19.56,-72.22,0,-Inf
"336",-19.55,-72.22,0.114836678375878,-0.939919377860396
"337",-19.54,-72.22,0,-Inf
"338",-19.5,-72.22,0,-Inf
"339",-19.49,-72.22,0.114794053909861,-0.940080606894625
"340",-19.48,-72.22,0,-Inf
"341",-19.33,-72.22,0,-Inf
"342",-19.29,-72.22,0,-Inf
"343",-19.24,-72.22,0,-Inf
"344",-19.2,-72.22,0,-Inf
"345",-19.19,-72.22,0,-Inf
"346",-19.66,-72.21,0,-Inf
"347",-19.58,-72.21,0,-Inf
"348",-19.57,-72.21,0,-Inf
"349",-19.55,-72.21,0,-Inf
"350",-19.54,-72.21,0,-Inf
"351",-19.53,-72.21,0,-Inf
"352",-19.51,-72.21,0,-Inf
"353",-19.5,-72.21,0,-Inf
"354",-19.49,-72.21,0,-Inf
"355",-19.48,-72.21,0.114786965144451,-0.940107426286879
"356",-19.46,-72.21,0,-Inf
"357",-19.67,-72.2,0,-Inf
"358",-19.58,-72.2,0,-Inf
"359",-19.56,-72.2,0,-Inf
"360",-19.55,-72.2,0,-Inf
"361",-19.54,-72.2,0,-Inf
"362",-19.53,-72.2,0,-Inf
"363",-19.51,-72.2,0,-Inf
"364",-19.5,-72.2,0,-Inf
"365",-19.49,-72.2,0,-Inf
"366",-19.47,-72.2,0.344339642251972,-0.463012976074821
"367",-19.46,-72.2,1.60681921018134,0.205967015258962
"368",-19.35,-72.2,0,-Inf
"369",-19.34,-72.2,0,-Inf
"370",-19.29,-72.2,0,-Inf
"371",-19.21,-72.2,0,-Inf
"372",-19.69,-72.19,0,-Inf
"373",-19.68,-72.19,0,-Inf
"374",-19.61,-72.19,0,-Inf
"375",-19.56,-72.19,0,-Inf
"376",-19.55,-72.19,0,-Inf
"377",-19.54,-72.19,0,-Inf
"378",-19.53,-72.19,0,-Inf
"379",-19.52,-72.19,0,-Inf
"380",-19.44,-72.19,0,-Inf
"381",-19.43,-72.19,0,-Inf
"382",-19.42,-72.19,0,-Inf
"383",-19.41,-72.19,0,-Inf
"384",-19.39,-72.19,0,-Inf
"385",-19.38,-72.19,0,-Inf
"386",-19.37,-72.19,0,-Inf
"387",-19.24,-72.19,0,-Inf
"388",-19.19,-72.19,0,-Inf
"389",-19.62,-72.18,0,-Inf
"390",-19.57,-72.18,0,-Inf
"391",-19.55,-72.18,0,-Inf
"392",-19.54,-72.18,0,-Inf
"393",-19.53,-72.18,0,-Inf
"394",-19.52,-72.18,0,-Inf
"395",-19.5,-72.18,0.229602294096258,-0.639023776951902
"396",-19.49,-72.18,0.114794053909861,-0.940080606894625
"397",-19.46,-72.18,0,-Inf
"398",-19.45,-72.18,0,-Inf
"399",-19.44,-72.18,0.22951730757314,-0.639184559363777
"400",-19.19,-72.18,0,-Inf
"401",-19.71,-72.17,0,-Inf
"402",-19.7,-72.17,0,-Inf
"403",-19.56,-72.17,0.114843797777428,-0.939892454224044
"404",-19.55,-72.17,0,-Inf
"405",-19.54,-72.17,1.83727301367451,0.264173696056719
"406",-19.53,-72.17,0.688934716275105,-0.16182193005867
"407",-19.52,-72.17,0.114815346448213,-0.940000059391569
"408",-19.51,-72.17,0,-Inf
"409",-19.5,-72.17,0.229602294096259,-0.6390237769519
"410",-19.49,-72.17,0.229588107819722,-0.639050611230644
"411",-19.48,-72.17,0,-Inf
"412",-19.47,-72.17,0.114779880750657,-0.940134230794484
"413",-19.46,-72.17,1.26250080799963,0.101231664738951
"414",-19.45,-72.17,0.918125800583646,-0.0370978081711461
"415",-19.44,-72.17,1.1475865378657,0.0597854449722413
"416",-19.43,-72.17,0.459006347467367,-0.33818130868716
"417",-19.28,-72.17,0,-Inf
"418",-19.24,-72.17,0,-Inf
"419",-19.21,-72.17,0,-Inf
"420",-19.18,-72.17,0,-Inf
"421",-19.64,-72.16,0,-Inf
"422",-19.59,-72.16,0,-Inf
"423",-19.57,-72.16,0,-Inf
"424",-19.56,-72.16,0.114843797777428,-0.939892454224044
"425",-19.55,-72.16,0.114836678375878,-0.939919377860396
"426",-19.54,-72.16,0,-Inf
"427",-19.53,-72.16,1.83715924340028,0.264146802213611
"428",-19.52,-72.16,0,-Inf
"429",-19.5,-72.16,0.114801147048129,-0.940053772615883
"430",-19.49,-72.16,0.344382161729583,-0.462959352174963
"431",-19.48,-72.16,0.459147860577804,-0.338047434958917
"432",-19.47,-72.16,0,-Inf
"433",-19.46,-72.16,0.114772800727239,-0.940161020419274
"434",-19.19,-72.16,0,-Inf
"435",-19.73,-72.15,0,-Inf
"436",-19.62,-72.15,0,-Inf
"437",-19.57,-72.15,0.689105529363342,-0.16171426530465
"438",-19.56,-72.15,0,-Inf
"439",-19.55,-72.15,0.114836678375878,-0.939919377860396
"440",-19.53,-72.15,0,-Inf
"441",-19.5,-72.15,0,-Inf
"442",-19.48,-72.15,0.459147860577804,-0.338047434958917
"443",-19.47,-72.15,0.344339642251972,-0.463012976074821
"444",-19.46,-72.15,0.114772800727239,-0.940161020419274
"445",-19.18,-72.15,0,-Inf
"446",-19.17,-72.15,0,-Inf
"447",-19.66,-72.14,0,-Inf
"448",-19.57,-72.14,0,-Inf
"449",-19.56,-72.14,0.803906584441999,-0.0947944142097852
"450",-19.55,-72.14,0,-Inf
"451",-19.52,-72.14,0,-Inf
"452",-19.51,-72.14,0.114808244560499,-0.940026923448809
"453",-19.48,-72.14,0.114786965144451,-0.940107426286879
"454",-19.47,-72.14,0.114779880750657,-0.940134230794484
"455",-19.46,-72.14,0,-Inf
"456",-19.28,-72.14,0,-Inf
"457",-19.24,-72.14,0,-Inf
"458",-19.2,-72.14,0,-Inf
"459",-19.76,-72.13,0,-Inf
