"","LatBin","LonBin","fishing_hours_sq_km","Log_fishing_hours_sq_km"
"25047",-20.63,-70.54,1.60028694669012,0.204197862775131
"25048",-20.62,-70.54,1.54646505132178,0.189340109796937
"25049",-20.61,-70.54,1.03837587892577,0.0163545910788791
"25050",-20.6,-70.54,0.90945257187151,-0.0412199445516463
"25051",-20.59,-70.54,1.40093714442441,0.14641865031646
"25052",-20.58,-70.54,2.12595194152715,0.327553442799943
"25053",-20.57,-70.54,2.01335746192967,0.303920888630005
"25054",-20.56,-70.54,4.05895759349315,0.608414513990818
"25055",-20.55,-70.54,2.64391626026446,0.422247695790538
"25056",-20.54,-70.54,1.96914458087711,0.294277604595159
"25057",-20.53,-70.54,3.22375488835406,0.508362013690727
"25058",-20.52,-70.54,3.52541300286308,0.547210001996274
"25059",-20.51,-70.54,2.77344868123705,0.443020134281282
"25060",-20.5,-70.54,1.95515129131181,0.2911803691179
"25061",-20.49,-70.54,2.10472518228542,0.323195397269729
"25062",-20.48,-70.54,1.50317396786593,0.177009245997422
"25063",-20.47,-70.54,1.3163345794951,0.119366290159643
"25064",-20.46,-70.54,5.67623290569454,0.754060207007907
"25065",-20.45,-70.54,6.49130708480408,0.812332154822277
"25066",-20.44,-70.54,2.13652074084232,0.329707113202664
"25067",-20.43,-70.54,6.93241461769715,0.840884529343829
"25068",-20.42,-70.54,3.41606419091297,0.533526022876852
"25069",-20.41,-70.54,5.07902071175367,0.705779983842968
"25070",-20.4,-70.54,5.50227601624358,0.740542372553995
"25071",-20.39,-70.54,5.57912623682571,0.746566188142144
"25072",-20.38,-70.54,4.65714752494976,0.668119995342404
"25073",-20.37,-70.54,7.78946656911015,0.891507717746489
"25074",-20.36,-70.54,9.31308791707133,0.969093702785129
"25075",-20.35,-70.54,5.14148812208011,0.711088836830015
"25076",-20.34,-70.54,2.66290786290611,0.425356140031241
"25077",-20.33,-70.54,2.60936069754115,0.416534116710148
"25078",-20.32,-70.54,2.40628423949861,0.381346926559388
"25079",-20.31,-70.54,3.61844841461707,0.558522385610174
"25080",-20.3,-70.54,4.09561140370308,0.612318743565063
"25081",-20.29,-70.54,3.134846601883,0.49621629426221
"25082",-20.28,-70.54,1.81920896442311,0.259882587399673
"25083",-20.27,-70.54,4.59183056314774,0.661985854379553
"25084",-20.26,-70.54,2.01555539100323,0.304394737828437
"25085",-20.25,-70.54,6.45407180977505,0.809833793174418
"25086",-20.24,-70.54,5.07007779160313,0.705014622884577
"25087",-20.23,-70.54,3.5995236431544,0.556245030534528
"25088",-20.22,-70.54,2.79947617922704,0.4470767764303
"25089",-20.21,-70.54,2.00938156536492,0.303062413601317
"25090",-20.2,-70.54,2.47817417518713,0.394131826924768
"25091",-20.19,-70.54,1.1691061866972,0.067853958725804
"25092",-20.18,-70.54,2.74447302325024,0.438458966248572
"25093",-20.17,-70.54,1.50160555048961,0.176555864929322
"25094",-20.16,-70.54,4.2295394172932,0.626293076732289
"25095",-20.15,-70.54,1.7852695413112,0.251703795499601
"25096",-20.14,-70.54,1.64323612090703,0.215699972831947
"25097",-20.13,-70.54,1.4051735275154,0.147729959393344
"25098",-20.12,-70.54,1.31576528711773,0.119178424535643
"25099",-20.11,-70.54,0.718102631481197,-0.143813481801351
"25100",-20.1,-70.54,1.1569092290195,0.0632992855875288
"25101",-20.09,-70.54,1.25405850144937,0.0983177966733439
"25102",-20.08,-70.54,1.57275401040833,0.196660801277795
"25103",-20.07,-70.54,0.569582909718174,-0.244443050140936
"25104",-20.06,-70.54,0.289453518822774,-0.538421166442575
"25105",-20.05,-70.54,1.06294192041753,0.0265095351429778
"25106",-20.04,-70.54,0.767218091495566,-0.115081164773712
"25107",-20.03,-70.54,0.621030357433086,-0.206887169962817
"25108",-20.02,-70.54,1.28301317539983,0.108231116214418
"25109",-20.01,-70.54,1.73688833244732,0.239771897801808
"25110",-20,-70.54,1.36562235229214,0.135330616628711
"25111",-19.99,-70.54,1.24102526392016,0.0937806226505705
"25112",-19.98,-70.54,1.14643017561769,0.05934760876732
"25113",-19.97,-70.54,1.95809078566879,0.291832823729098
"25114",-19.96,-70.54,1.79654172774837,0.25443730888851
"25115",-19.95,-70.54,1.89068638441508,0.276619496685608
"25116",-19.94,-70.54,4.87714870209167,0.688165997238754
"25117",-19.93,-70.54,3.50319032766731,0.544463733095661
"25118",-19.92,-70.54,3.77106282824215,0.576463768080924
"25119",-19.91,-70.54,3.54998442195624,0.550226447287971
"25120",-19.9,-70.54,5.79470460028268,0.763031301604689
"25121",-19.89,-70.54,2.67252120144869,0.426921159207533
"25122",-19.88,-70.54,1.38088726747625,0.140158225203253
"25123",-19.87,-70.54,1.45727154153726,0.163540483824467
"25124",-19.86,-70.54,2.84316628138588,0.453802259963589
"25125",-19.85,-70.54,0.801769820194912,-0.0959502952662074
"25126",-19.84,-70.54,2.05714705674681,0.313265338681044
"25127",-19.83,-70.54,1.30567769034302,0.115835983538644
"25128",-19.82,-70.54,1.1040526139432,0.0429897703141329
"25129",-19.81,-70.54,1.16820447749588,0.0675188664714105
"25130",-19.8,-70.54,1.9246007449494,0.284340649559182
"25131",-19.79,-70.54,1.07197744531651,0.0301856477843355
"25132",-19.78,-70.54,1.48543649855519,0.17185409072969
"25133",-19.77,-70.54,1.42688784513615,0.154389838459637
"25134",-19.76,-70.54,2.08845334191775,0.319824777147701
"25135",-19.75,-70.54,1.2717256060048,0.104393415830331
"25136",-19.74,-70.54,1.47404579214148,0.168510975358482
"25137",-19.73,-70.54,2.51654687098727,0.400805023595296
"25138",-19.72,-70.54,2.75899931876993,0.440751593246675
"25139",-19.71,-70.54,0.922482700214122,-0.0350417696371883
"25140",-19.7,-70.54,1.20212193494552,0.0799485217334181
"25141",-19.69,-70.54,1.04113538629446,0.0175072076061286
"25142",-19.68,-70.54,2.18222526196681,0.338899578965295
"25143",-19.67,-70.54,1.31418553581193,0.118656682949131
"25144",-19.66,-70.54,1.90160769918622,0.279120927085353
"25145",-19.65,-70.54,2.13250226041502,0.328889500184343
"25146",-19.64,-70.54,4.47515109999777,0.650807703515037
"25147",-19.63,-70.54,3.11577505481325,0.493566095990343
"25148",-19.62,-70.54,1.4066428851955,0.148183853884898
"25149",-19.61,-70.54,1.71744793498113,0.234883580146069
"25150",-19.6,-70.54,1.07621004061658,0.0318970395261563
"25151",-19.59,-70.54,0.988558474967534,-0.00499763631022314
