field_1,n_shipname,lat_bin,lon_bin,fishing_hours,total_hours,fishing_hours_sq_km,total_hours_sq_km
"625242",ATACAMAIV,-19.74,-70.28,0,0.1333333,0,0.1149727
"625338",ICALMA,-19.53,-70.34,0,0.2555556,0,0.2200764
"625349",ICALMA,-19.46,-70.33,0,0.3922222,0,0.3376233
"625396",ALBIMER,-19.35,-70.43,0,0.2666667,0,0.2293904
"625470",COSTAGRANDE1,-19.79,-70.3,0,0.2166667,0,0.1868892
"625471",COSTAGRANDE1,-19.76,-70.31,0,0.1333333,0,0.1149871
"625472",COSTAGRANDE1,-19.37,-70.39,0,0.2666667,0,0.2294186
"625552",SANJORGEI,-19.56,-70.42,0,0.1,0,0.08613285
"625555",SANJORGEI,-19.82,-70.29,0,0.5580556,0,0.4814503
"625556",SANJORGEI,-19.75,-70.32,0,0.1427778,0,0.1231243
"625557",SANJORGEI,-19.32,-70.41,0,0.1311111,0,0.1127629
"625634",TRUENOI,-19.63,-70.4,0,0.1713889,0,0.1476863
"625684",TRUENOI,-19.75,-70.3,0,0.2225,0,0.1918727
"625714",TRUENOI,-19.53,-70.35,0,0.7166667,0,0.6171707
"625725",EPERVA66,-19.68,-70.35,0,0.3694444,0,0.3184507
"625726",EPERVA66,-19.63,-70.38,0.7761111,0.7761111,0.6687774,0.6687774
"625731",EPERVA66,-19.67,-70.38,0.2727778,0.2727778,0.2351121,0.2351121
"625735",ANGAMOS3,-19.47,-70.37,0,1.085833,0,0.9347387
"625806",LICANTEN,-19.38,-70.34,0,0.1333333,0,0.1147163
"625807",LICANTEN,-19.33,-70.3,0,0.06666667,0,0.05734058
"625813",LICANTEN,-19.76,-70.23,0,0.2833333,0,0.2443476
"625814",LICANTEN,-19.66,-70.25,0,0.4,0,0.3447457
"625818",LICANTEN,-19.45,-70.31,0,0.5333333,0,0.4590629
"625820",LICANTEN,-19.56,-70.28,0,0.1333333,0,0.1148438
"625828",LICANTEN,-19.65,-70.29,0,0.2666667,0,0.2298161
"625829",LICANTEN,-19.68,-70.3,0,0.4,0,0.3447887
"625834",LICANTEN,-19.66,-70.26,0,0.3,0,0.2585593
"625835",LICANTEN,-19.57,-70.29,0,0.4336111,0,0.3735048
"625836",LICANTEN,-19.71,-70.31,0,0.1333333,0,0.1149511
"625871",LOA1,-19.53,-70.3,0.6833333,1.483333,0.5884651,1.2774
"625891",DONERNESTOAYALAMARFIL,-19.6,-70.3,0,0.01666667,0,0.01435904
"625893",HURACAN,-19.52,-70.36,1.815,2.449722,1.562924,2.109493
"625905",ATACAMAV,-19.53,-70.3,0,0.95,0,0.81811
"625907",HALCON,-19.62,-70.29,0,0.2519444,0,0.2170878
"625962",EPERVA62,-19.58,-70.35,0,1.132778,0,0.9758148
"625996",EPERVA62,-19.36,-70.34,0,0.3786111,0,0.3257066
"625998",EPERVA62,-19.69,-70.28,0,0.3283333,0,0.2830317
"626054",EPERVA62,-19.69,-70.33,0,0.1333333,0,0.1149367
"626111",ALERCE,-19.59,-70.42,0,0.06666667,0,0.05743259
"626125",ALERCE,-19.78,-70.3,0,0.1333333,0,0.1150015
"626126",ALERCE,-19.83,-70.29,0,0.1333333,0,0.1150377
"626127",ALERCE,-19.58,-70.3,0,0.1333333,0,0.114858
"626138",ALERCE,-19.4,-70.37,0,0.1333333,0,0.1147304
"626208",ALBIMER,-19.78,-70.36,0,0.2666667,0,0.2300031
"626209",ALBIMER,-19.76,-70.37,0,0.1333333,0,0.1149871
"626240",ALBIMER,-19.61,-70.4,0,0.2666667,0,0.2297589
"626259",TORNADO,-19.36,-70.33,0.3769444,0.9263889,0.3242728,0.7969416
"626261",EPERVA56,-19.52,-70.33,0.2833333,1.599167,0.2439826,1.377067
"626269",AUDAZ,-19.45,-70.36,0,0.5827778,0,0.5016219
"626270",AUDAZ,-19.55,-70.32,0.06666667,0.4127778,0.05741834,0.3555152
"626271",AUDAZ,-19.58,-70.32,0,0.6469444,0,0.5573008
"626281",INTREPIDO,-19.79,-70.26,0,0.3972222,0,0.3426303
"626312",EPERVA51,-19.59,-70.37,0,0.1302778,0,0.1122329
"626336",EPERVA49,-19.46,-70.4,0,0.1333333,0,0.1147728
"626421",ALERCE,-19.32,-70.42,0,0.5333333,0,0.4586966
"626423",ALERCE,-19.73,-70.37,0,0.3333333,0,0.2874137
"626425",ALERCE,-19.54,-70.33,0,0.06666667,0,0.05741478
"626478",RELAMPAGO,-19.74,-70.33,0,0.2577778,0,0.2222805
"626480",RELAMPAGO,-19.57,-70.36,0,0.1338889,0,0.1153295
"626492",RELAMPAGO,-19.42,-70.33,0,0.1388889,0,0.1195255
"626493",ICALMA,-19.56,-70.4,0,0.3908333,0,0.3366359
"626496",LICANTEN,-19.57,-70.36,0,0.1333333,0,0.1148509
"626502",LICANTEN,-19.8,-70.27,0,0.2666667,0,0.230032
"626510",LICANTEN,-19.56,-70.29,0,0.5333333,0,0.4593752
"626516",COLLEN,-19.5,-70.32,0,0.2666667,0,0.2296023
"626518",ATACAMAV,-19.6,-70.29,0,0.4,0,0.344617
"626521",ATACAMAV,-19.74,-70.26,0,0.1333333,0,0.1149727
"626579",LOA1,-19.79,-70.35,0,0.1333333,0,0.1150088
"626580",LOA1,-19.4,-70.41,0.55,0.6833333,0.473263,0.5879934
"626581",LOA1,-19.43,-70.42,0.95,1.216667,0.8176051,1.047108
"626582",LOA1,-19.77,-70.24,0,0.2666667,0,0.2299886
"626583",LOA1,-19.82,-70.23,0,0.2666667,0,0.2300609
"626665",EPERVA62,-19.71,-70.35,0,0.2641667,0,0.2277469
"626686",EPERVA62,-19.53,-70.43,0,0.2666667,0,0.2296449
"626722",COSTAGRANDE1,-19.35,-70.45,0,0.1333333,0,0.1146952
"626777",CORPESCAI,-19.82,-70.28,0,0.4919444,0,0.4244144
"626787",CORPESCAI,-19.8,-70.28,0,0.0525,0,0.04528754
"626857",ANGAMOS1,-19.39,-70.42,0,0.3522222,0,0.3030609
"626858",ANGAMOS1,-19.45,-70.41,0,0.1666667,0,0.1434572
"626859",ANGAMOS1,-19.49,-70.41,0,0.2688889,0,0.2315013
"626860",ANGAMOS1,-19.63,-70.38,0,0.5452778,0,0.4698676
"626923",ICALMA,-19.53,-70.39,1.451667,1.8475,1.250129,1.591009
"626939",ICALMA,-19.39,-70.36,0,0.1502778,0,0.1293028
"626975",ICALMA,-19.52,-70.41,0,0.4083333,0,0.351622
"626980",ICALMA,-19.61,-70.3,0,0.2755556,0,0.2374176
"626984",CORPESCAI,-19.76,-70.26,0,0.5252778,0,0.4530013
"627008",ANGAMOS2,-19.81,-70.27,0,0.2263889,0,0.1952998
"627009",ANGAMOS2,-19.76,-70.28,0,0.3891667,0,0.3356186
"627110",DONGINO,-19.51,-70.32,0,0.4011111,0,0.3453815
"627111",DONGINO,-19.69,-70.3,0,0.3616667,0,0.3117659
"627113",COLLEN,-19.72,-70.33,0,0.1333333,0,0.1149583
"627114",COLLEN,-19.73,-70.19,0,0.1333333,0,0.1149655
"627117",LOA7,-19.66,-70.28,0,0.235,0,0.2025381
"627118",LOA7,-19.63,-70.29,0,0.2983333,0,0.2570748
"627125",LOA7,-19.32,-70.34,0,0.5366667,0,0.4615634
"627126",LOA7,-19.58,-70.3,0,0.2666667,0,0.2297161
"627127",LOA7,-19.6,-70.29,0,0.265,0,0.2283087
"627128",LOA7,-19.75,-70.25,1.466667,1.868333,1.264779,1.611156
"627131",LOA7,-19.56,-70.28,0,0.215,0,0.1851856
"627139",LOA7,-19.57,-70.29,0,0.5333333,0,0.4594037
"627141",LOA7,-19.34,-70.31,0,0.05166667,0,0.04444167
"627143",LOA7,-19.83,-70.23,0,0.2666667,0,0.2300754
"627146",LOA7,-19.49,-70.33,1.616667,2.283333,1.391878,1.965848
"627147",LOA7,-19.49,-70.37,0.1333333,0.4,0.1147941,0.3443822
"627148",LOA7,-19.47,-70.38,0,0.1333333,0,0.1147799
"627151",LOA7,-19.79,-70.2,0,0.4,0,0.3450263
"627164",EPERVA64,-19.78,-70.29,0,1.0575,0,0.9121059
"627170",AUDAZ,-19.78,-70.25,0,0.2,0,0.1725023
"627210",PUCARA,-19.74,-70.28,0,0.2319444,0,0.2000046
"627235",PUCARA,-19.42,-70.34,0,0.2838889,0,0.2443102
"627236",PUCARA,-19.37,-70.35,0,0.425,0,0.3656358
"627257",PUCARA,-19.57,-70.29,0,0.3555556,0,0.3062691
"627258",PUCARA,-19.6,-70.29,0,0.2841667,0,0.2448216
"627260",PUCARA,-19.46,-70.35,0,0.4391667,0,0.3780329
"627333",PUCARA,-19.61,-70.37,0,0.06666667,0,0.05743973
"627334",PUCARA,-19.53,-70.39,0,0.1163889,0,0.1002304
"627391",BLANQUILLO,-19.62,-70.39,0,0.1422222,0,0.1225457
"627404",AUDAZ,-19.42,-70.33,0.2,0.3333333,0.1721168,0.2868613
"627452",MERO,-19.45,-70.44,0,0.2125,0,0.1829079
"627493",HALCON,-19.79,-70.21,0,0.4088889,0,0.3526935
"627530",SANJORGEI,-19.64,-70.37,0,0.2080556,0,0.1792933
"627537",SANJORGEI,-19.76,-70.35,0.5333333,0.6666667,0.4599484,0.5749355
"627552",EPERVA61,-19.73,-70.27,0,0.8238889,0,0.710391
"627561",LOA1,-19.52,-70.3,0,0.4,0,0.344446
"627580",RELAMPAGO,-19.47,-70.33,0,1.064444,0,0.916326
"627581",CORPESCAI,-19.39,-70.38,0,0.4519444,0,0.3888644
"627616",BANDURRIA,-19.83,-70.26,0,0.2297222,0,0.1982003
"627618",BANDURRIA,-19.54,-70.39,0,0.05861111,0,0.05047716
"627714",BANDURRIA,-19.43,-70.39,0,0.0875,0,0.07530573
"627715",BANDURRIA,-19.39,-70.4,0,0.015,0,0.01290638
"627826",LOA2,-19.53,-70.34,0,0.1333333,0,0.1148225
"627827",LOA2,-19.47,-70.43,0,0.1333333,0,0.1147799
"627843",LOA2,-19.67,-70.37,0,0.1333333,0,0.1149224
"627845",CLAUDIAALEJANDRA,-19.68,-70.27,0,0.4,0,0.3447887
"627896",ANGAMOS1,-19.7,-70.29,0,0.7844444,0,0.6762535
"627924",HALCON,-19.68,-70.28,0,0.2219444,0,0.1913099
"627925",HALCON,-19.6,-70.31,0,0.1219444,0,0.1050603
"627926",HALCON,-19.58,-70.31,0,0.1880556,0,0.1619977
"627928",HALCON,-19.6,-70.35,0,0.07916667,0,0.06820544
"627929",HALCON,-19.61,-70.35,0,0.07083333,0,0.06102971
"627939",HALCON,-19.57,-70.31,0,0.3722222,0,0.3206255
"627940",HALCON,-19.63,-70.32,0,0.1333333,0,0.1148938
"627941",HALCON,-19.58,-70.33,0,0.06916667,0,0.05958261
"627942",HALCON,-19.75,-70.27,0,0.2427778,0,0.2093592
"627958",ANGAMOS2,-19.6,-70.31,0,0.8702778,0,0.7497812
"627995",ANGAMOS9,-19.76,-70.26,0,0.2705556,0,0.233328
"628114",PUCARA,-19.35,-70.33,0.5836111,1.052778,0.5020305,0.9056143
"628119",EPERVA64,-19.6,-70.34,0,0.4333333,0,0.373335
"628255",CAMINA,-19.66,-70.38,0,0.1286111,0,0.1108453
"628332",HURACAN,-19.35,-70.37,0,0.1902778,0,0.1636796
"628333",HURACAN,-19.84,-70.33,0,0.2941667,0,0.2538179
"628345",HURACAN,-19.54,-70.4,0,0.4211111,0,0.36267
"628346",HURACAN,-19.81,-70.33,1.023889,1.353611,0.8832824,1.167725
"628348",HURACAN,-19.46,-70.4,0,0.08944444,0,0.07699342
"628349",HURACAN,-19.33,-70.41,0,0.1088889,0,0.09365628
"628352",HURACAN,-19.51,-70.32,0,0.5747222,0,0.4948714
"628353",HURACAN,-19.68,-70.33,0.1333333,0.6813889,0.1149296,0.587338
"628354",HURACAN,-19.49,-70.37,0,0.2672222,0,0.2300664
"628429",EPERVA66,-19.34,-70.36,0,0.2194444,0,0.1887576
"628497",LOA2,-19.64,-70.28,0.1333333,0.5333333,0.1149009,0.4596036
"628505",LOA2,-19.62,-70.26,0,0.4,0,0.3446598
"628514",LOA2,-19.63,-70.28,0,0.2666667,0,0.2297875
"628518",LOA2,-19.32,-70.31,0,0.1333333,0,0.1146741
"628521",LOA2,-19.61,-70.26,0,0.1333333,0,0.1148795
"628522",LOA2,-19.7,-70.24,0,0.1333333,0,0.1149439
"628523",LOA2,-19.56,-70.28,0,0.4,0,0.3445314
"628528",LOA2,-19.72,-70.24,0,0.1333333,0,0.1149583
"628529",LOA2,-19.7,-70.2,0,0.1333333,0,0.1149439
"628531",LOA2,-19.59,-70.29,0,0.1333333,0,0.1148652
"628586",CLAUDIAALEJANDRA,-19.79,-70.21,0,0.9333333,0,0.8050613
"628591",CLAUDIAALEJANDRA,-19.82,-70.19,0,0.1333333,0,0.1150304
"628594",CLAUDIAALEJANDRA,-19.83,-70.2,0,0.4,0,0.345113
"628603",CLAUDIAALEJANDRA,-19.69,-70.28,0,0.1333333,0,0.1149367
"628605",CLAUDIAALEJANDRA,-19.66,-70.3,0,0.5333333,0,0.4596609
"628606",CLAUDIAALEJANDRA,-19.81,-70.25,0,0.6666667,0,0.5751161
"628608",CLAUDIAALEJANDRA,-19.73,-70.25,0,0.6666667,0,0.5748275
"628609",CLAUDIAALEJANDRA,-19.64,-70.26,0,0.2666667,0,0.2298018
"628648",CAMINA,-19.7,-70.22,0,0.1,0,0.08620795
"628751",EPERVA65,-19.81,-70.23,1.8775,2.168611,1.619671,1.870805
"628753",EPERVA65,-19.74,-70.29,0,0.3952778,0,0.3408461
"628754",EPERVA65,-19.69,-70.3,0,0.2569444,0,0.2214927
"628758",EPERVA65,-19.47,-70.3,0,0.2033333,0,0.1750393
"628771",EPERVA65,-19.66,-70.27,0,0.2733333,0,0.2355762
"628776",EPERVA65,-19.34,-70.37,0,0.1366667,0,0.1175554
"628783",EPERVA65,-19.43,-70.33,0,0.06361111,0,0.05474607
"628784",EPERVA65,-19.76,-70.26,0,0.4663889,0,0.4022153
"628786",EPERVA65,-19.8,-70.26,0,0.1330556,0,0.1147764
"628787",EPERVA65,-19.68,-70.29,0.1188889,0.9408333,0.1024789,0.8109718
"628788",EPERVA65,-19.58,-70.28,0,0.01083333,0,0.009332217
"628793",EPERVA65,-19.74,-70.21,0,0.06666667,0,0.05748635
"628813",EPERVA65,-19.32,-70.45,0,0.1333333,0,0.1146741
"628819",EPERVA65,-19.69,-70.39,0.01361111,0.3725,0.01173313,0.3211045
"628820",EPERVA65,-19.72,-70.37,0,0.3586111,0,0.3091899
"628902",MARLIN,-19.63,-70.3,0,0.1916667,0,0.1651598
"628903",MARLIN,-19.43,-70.41,0,0.5577778,0,0.4800441
"628923",RELAMPAGO,-19.73,-70.38,0,0.2533333,0,0.2184344
"628933",PARINAI,-19.8,-70.27,0,0.1813889,0,0.1564697
"628939",BARRACUDAIV,-19.75,-70.21,0,0.4,0,0.3449397
"628944",BARRACUDAIV,-19.64,-70.3,0,0.2741667,0,0.236265
"628956",BARRACUDAIV,-19.77,-70.26,0.1766667,0.4152778,0.1523675,0.3581594
"628960",BARRACUDAIV,-19.76,-70.22,0,0.08166667,0,0.0704296
"628968",BARRACUDAIV,-19.48,-70.28,0,0.1333333,0,0.114787
"628970",BARRACUDAIV,-19.65,-70.32,0,0.1572222,0,0.1354958
"628972",BARRACUDAIV,-19.82,-70.2,0,0.07333333,0,0.06326674
"629021",BARRACUDAIV,-19.49,-70.34,0,0.2947222,0,0.2537427
"629024",BARRACUDAIV,-19.35,-70.35,0,0.1333333,0,0.1146952
"629044",HALCON,-19.53,-70.3,0,0.1188889,0,0.1023834
"629168",EPERVA61,-19.77,-70.25,0,0.1333333,0,0.1149943
"629223",MARLIN,-19.41,-70.41,0,0.1216667,0,0.1046979
"629228",MARLIN,-19.45,-70.44,0,0.0925,0,0.07961872
"629230",LOA2,-19.75,-70.3,0,0.1333333,0,0.1149799
"629242",PARINAI,-19.69,-70.31,0,0.2036111,0,0.175518
"629361",DONERNESTOAYALAMARFIL,-19.44,-70.43,0,0.1130556,0,0.09730578
"629402",TORNADO,-19.52,-70.34,2.783333,3.093889,2.39677,2.664194
"629403",TORNADO,-19.68,-70.31,0,0.5455556,0,0.4702535
"629406",EPERVA64,-19.64,-70.29,0,0.1333333,0,0.1149009
"629468",LICANTEN,-19.43,-70.34,0,0.25,0,0.2151592
"629471",LICANTEN,-19.33,-70.41,0,0.04972222,0,0.04276652
