field_1,n_shipname,lat_bin,lon_bin,fishing_hours,total_hours,fishing_hours_sq_km,total_hours_sq_km
"67283",ALBIMER,-19.64,-70.25,0,0.266666666666667,0,0.229801821663432
"67306",ALBIMER,-19.63,-70.27,0,0.933333333333333,0,0.804256294397521
"67337",EPERVA62,-19.62,-70.28,0,0.797777777777778,0,0.68740486069108
"67631",EPERVA49,-19.65,-70.26,0,0.133333333333333,0,0.114908069712529
"68132",SANJORGEI,-19.66,-70.26,1.4,1.52138888888889,1.2066099463551,1.31123068971961
"68156",BANDURRIA,-19.64,-70.3,0,0.612222222222222,0,0.527586682235629
"68616",BLANQUILLO,-19.62,-70.32,0,0.3225,0,0.277881978851791
"68956",LOA1,-19.66,-70.28,0,0.266666666666667,0,0.229830465972399
"69393",ANGAMOS4,-19.63,-70.32,0,0.278611111111111,0,0.240080078357355
"69547",HALCON,-19.6,-70.28,0,0.587777777777778,0,0.506395473859171
"69621",BANDURRIA,-19.62,-70.28,0,0.133333333333333,0,0.114886606243635
"70429",COSTAGRANDE1,-19.65,-70.3,0.133333333333333,1.21666666666667,0.114908069712529,1.04853613612683
"70431",ANGAMOS4,-19.63,-70.28,0,0.0666666666666667,0,0.0574468781712515
"70670",HURACAN,-19.62,-70.3,0,0.571944444444444,0,0.492815671365924
"71520",CLAUDIAALEJANDRA,-19.64,-70.28,0,0.533333333333333,0,0.459603643326863
"72159",LICANTEN,-19.64,-70.28,0,0.55,0,0.473966257180828
"72165",LICANTEN,-19.64,-70.3,0,0.283333333333333,0,0.244164435517396
"72346",EPERVA62,-19.66,-70.28,0,0.164444444444444,0,0.141728787349646
"72457",ALERCE,-19.65,-70.27,0,0.0666666666666667,0,0.0574540348562645
"72746",ATACAMAV,-19.61,-70.27,0,0.266666666666667,0,0.22975892106771
"73332",ICALMA,-19.63,-70.31,0,0.278888888888889,0,0.240319440349735
"74411",HALCON,-19.65,-70.27,0,0.0644444444444444,0,0.0555389003610557
"74936",LOA2,-19.64,-70.3,0,0.4,0,0.344702732495147
"75417",HALCON,-19.63,-70.29,0,0.114722222222222,0,0.0988565028530286
"75461",BLANQUILLO,-19.66,-70.29,0,0.531944444444444,0,0.458463898267859
"75694",PARINAI,-19.65,-70.3,0,0.171388888888889,0,0.14770474794298
"75965",TORNADO,-19.66,-70.29,0,0.262222222222222,0,0.225999958206193
"77032",HURACAN,-19.63,-70.31,0,0.503055555555556,0,0.433484568200569
"77656",EPERVA56,-19.64,-70.31,0,0.263333333333333,0,0.226929298892639
"77966",COSTAGRANDE1,-19.66,-70.24,0,0.133333333333333,0,0.1149152329862
"78139",INTREPIDO,-19.65,-70.29,0,0.661111111111111,0,0.569752512324623
"78592",AVENTURERO,-19.64,-70.27,0,0.263055555555556,0,0.226689921995073
"78955",ANGAMOS4,-19.64,-70.25,0,0.133333333333333,0,0.114900910831716
"79388",EPERVA61,-19.63,-70.32,0.261111111111111,0.771111111111111,0.225000272837402,0.664468890847476
"79422",EPERVA61,-19.66,-70.28,0,0.283888888888889,0,0.24467368356645
"79716",CORPESCAI,-19.65,-70.28,0,0.496944444444444,0,0.428271951491071
"80465",EPERVA62,-19.6,-70.29,0,0.440833333333333,0,0.379796605394379
"80717",EPERVA66,-19.62,-70.25,0,0.188055555555556,0,0.162037984222793
"80718",EPERVA66,-19.61,-70.26,0,0.0944444444444444,0,0.0813729512114806
"81076",EPERVA61,-19.64,-70.26,0,0.151944444444444,0,0.130939162968643
"81487",LOA1,-19.6,-70.27,0,0.133333333333333,0,0.11487231921191
"81801",DONGINO,-19.62,-70.27,0,0.133333333333333,0,0.114886606243635
"82650",ICALMA,-19.6,-70.27,0,0.1225,0,0.105538943275943
"82812",TRUENOI,-19.6,-70.32,0,0.05,0,0.0430771197044664
"83346",EPERVA65,-19.63,-70.31,0,0.144444444444444,0,0.124468236037712
"83413",LOA1,-19.63,-70.32,0,0.133333333333333,0,0.114893756342503
"83815",BLANQUILLO,-19.63,-70.27,0,0.0891666666666667,0,0.0768351995540489
"84720",EPERVA66,-19.61,-70.32,0,0.136111111111111,0,0.11727278262831
"85523",ANGAMOS9,-19.64,-70.27,0,0.0166666666666667,0,0.0143626138539645
"86493",AVENTURERO,-19.65,-70.3,0.133333333333333,0.557777777777778,0.114908069712529,0.480698758297413
"87290",HURACAN,-19.64,-70.25,0,0.0822222222222222,0,0.0708555616795581
"87998",SALMON,-19.64,-70.26,0,0.305555555555556,0,0.263314587322682
"88668",MERO,-19.64,-70.31,0,0.704722222222222,0,0.607299189125131
"89126",EPERVA62,-19.63,-70.3,0,0.255555555555556,0,0.220213032989797
"89131",EPERVA62,-19.61,-70.28,0,0.456666666666667,0,0.393462152328453
"89280",ALBIMER,-19.63,-70.29,0,0.4,0,0.344681269027509
"89686",EPERVA49,-19.63,-70.26,0,0.133333333333333,0,0.114893756342503
"90122",CORPESCA2,-19.66,-70.24,0,0.524722222222222,0,0.452239323147773
"91116",COSTAGRANDE1,-19.64,-70.25,0,0.133333333333333,0,0.114900910831716
"91237",DONGINO,-19.65,-70.29,0,0.460277777777778,0,0.396672232320126
"91365",LOA7,-19.66,-70.27,0,0.416666666666667,0,0.359110103081874
"91500",LOA7,-19.61,-70.31,0,0.533333333333333,0,0.45951784213542
"91596",HALCON,-19.66,-70.25,0,0.133333333333333,0,0.1149152329862
"91728",PUCARA,-19.6,-70.28,0,0.52,0,0.44800204492645
"92193",ANGAMOS3,-19.62,-70.3,0.776111111111111,1.46194444444444,0.668735787176489,1.25968376804218
"92449",ANGAMOS4,-19.6,-70.29,0.133333333333333,0.305833333333333,0.11487231921191,0.263488382192319
